,Rank,Player_Position,Team,Salary,Year,Player,Position
421,22,"Chris Bosh, PF",Toronto Raptors,"$15,779,912",2010,Chris Bosh, PF
422,23,"LeBron James, SF",Cleveland Cavaliers,"$15,779,912",2010,LeBron James, SF
423,24,"Dwight Howard, C",Orlando Magic,"$15,202,590",2010,Dwight Howard, C
424,25,"Joe Johnson, G",Atlanta Hawks,"$14,976,754",2010,Joe Johnson, G
425,26,"Elton Brand, PF",Philadelphia 76ers,"$14,858,472",2010,Elton Brand, PF
426,27,"Richard Jefferson, F",San Antonio Spurs,"$14,200,000",2010,Richard Jefferson, F
427,28,"Chris Paul, PG",New Orleans Hornets,"$13,520,500",2010,Chris Paul, PG
428,29,"Deron Williams, PG",Utah Jazz,"$13,520,500",2010,Deron Williams, PG
429,30,"Peja Stojakovic, SF",New Orleans Hornets,"$13,392,000",2010,Peja Stojakovic, SF
430,31,"Jason Richardson, SG",Phoenix Suns,"$13,333,332",2010,Jason Richardson, SG
431,32,"Steve Nash, PG",Phoenix Suns,"$13,125,000",2010,Steve Nash, PG
432,33,"Tony Parker, G",San Antonio Spurs,"$12,600,000",2010,Tony Parker, G
433,34,"Andrew Bynum, C",Los Angeles Lakers,"$12,500,000",2010,Andrew Bynum, C
434,35,"Carlos Boozer, PF",Utah Jazz,"$12,323,900",2010,Carlos Boozer, PF
435,36,"Brad Miller, C",Chicago Bulls,"$12,250,000",2010,Brad Miller, C
436,37,"Andre Iguodala, SG",Philadelphia 76ers,"$12,200,000",2010,Andre Iguodala, SG
437,38,"Erick Dampier, C",Dallas Mavericks,"$12,115,500",2010,Erick Dampier, C
438,39,"Baron Davis, PG",LA Clippers,"$12,100,000",2010,Baron Davis, PG
439,40,"Chauncey Billups, PG",Denver Nuggets,"$12,100,000",2010,Chauncey Billups, PG
440,1,"Kevin Garnett, PF",Boston Celtics,"$24,751,934",2009,Kevin Garnett, PF
441,2,"Jason Kidd, PG",Dallas Mavericks,"$21,372,000",2009,Jason Kidd, PG
442,3,"Jermaine O'Neal, C",Toronto Raptors,"$21,372,000",2009,Jermaine O'Neal, C
443,4,"Kobe Bryant, SF",Los Angeles Lakers,"$21,262,500",2009,Kobe Bryant, SF
444,5,"Shaquille O'Neal, C",Phoenix Suns,"$21,000,000",2009,Shaquille O'Neal, C
445,6,"Allen Iverson, SG",Detroit Pistons,"$20,840,625",2009,Allen Iverson, SG
446,7,"Stephon Marbury, PG",Boston Celtics,"$20,840,625",2009,Stephon Marbury, PG
447,8,"Tim Duncan, C",San Antonio Spurs,"$20,598,704",2009,Tim Duncan, C
448,9,"Tracy McGrady, SG",Houston Rockets,"$20,370,437",2009,Tracy McGrady, SG
449,10,"Ray Allen, SG",Boston Celtics,"$18,388,430",2009,Ray Allen, SG
450,11,"Dirk Nowitzki, F",Dallas Mavericks,"$18,077,904",2009,Dirk Nowitzki, F
451,12,"Paul Pierce, SF",Boston Celtics,"$18,077,903",2009,Paul Pierce, SF
452,13,"Shawn Marion, SG",Toronto Raptors,"$17,810,000",2009,Shawn Marion, SG
453,14,"Rashard Lewis, PF",Orlando Magic,"$16,447,871",2009,Rashard Lewis, PF
454,15,"Michael Redd, SG",Milwaukee Bucks,"$15,780,000",2009,Michael Redd, SG
455,16,"Pau Gasol, PF",Los Angeles Lakers,"$15,106,000",2009,Pau Gasol, PF
456,17,"Andrei Kirilenko, SF",Utah Jazz,"$15,106,000",2009,Andrei Kirilenko, SF
457,18,"Amar'e Stoudemire, C",Phoenix Suns,"$15,070,550",2009,Amar'e Stoudemire, C
458,19,"Yao Ming, C",Houston Rockets,"$15,070,550",2009,Yao Ming, C
459,20,"Mike Bibby, PG",Atlanta Hawks,"$14,983,603",2009,Mike Bibby, PG
460,21,"Vince Carter, G",New Jersey Nets,"$14,724,125",2009,Vince Carter, G
461,22,"Zach Randolph, F",New York Knicks,"$14,666,667",2009,Zach Randolph, F
462,23,"Gilbert Arenas, PG",Washington Wizards,"$14,653,466",2009,Gilbert Arenas, PG
463,24,"Ben Wallace, PF",Cleveland Cavaliers,"$14,500,000",2009,Ben Wallace, PF
464,25,"Kenyon Martin, PF",Denver Nuggets,"$14,431,816",2009,Kenyon Martin, PF
465,26,"Carmelo Anthony, PF",Denver Nuggets,"$14,410,581",2009,Carmelo Anthony, PF
466,27,"Dwyane Wade, G",Miami Heat,"$14,410,581",2009,Dwyane Wade, G
467,28,"Chris Bosh, PF",Toronto Raptors,"$14,410,581",2009,Chris Bosh, PF
468,29,"LeBron James, SF",Cleveland Cavaliers,"$14,410,581",2009,LeBron James, SF
469,30,"Joe Johnson, G",Atlanta Hawks,"$14,232,567",2009,Joe Johnson, G
470,31,"Lamar Odom, PF",Los Angeles Lakers,"$14,148,596",2009,Lamar Odom, PF
471,32,"Rasheed Wallace, PF",Detroit Pistons,"$13,930,000",2009,Rasheed Wallace, PF
472,33,"Wally Szczerbiak, SG",Cleveland Cavaliers,"$13,775,000",2009,Wally Szczerbiak, SG
473,34,"Dwight Howard, C",Orlando Magic,"$13,758,000",2009,Dwight Howard, C
474,35,"Elton Brand, PF",Philadelphia 76ers,"$13,757,844",2009,Elton Brand, PF
475,36,"Richard Jefferson, F",Milwaukee Bucks,"$13,200,000",2009,Richard Jefferson, F
476,37,"Larry Hughes, SG",New York Knicks,"$12,827,676",2009,Larry Hughes, SG
477,38,"Raef LaFrentz, C",Portland Trail Blazers,"$12,722,500",2009,Raef LaFrentz, C
478,39,"Peja Stojakovic, SF",New Orleans Hornets,"$12,528,000",2009,Peja Stojakovic, SF
479,40,"Steve Nash, PG",Phoenix Suns,"$12,250,000",2009,Steve Nash, PG
480,1,"Kevin Garnett, PF",Boston Celtics,"$23,751,934",2008,Kevin Garnett, PF
481,2,"Shaquille O'Neal, C",Phoenix Suns,"$21,000,000",2008,Shaquille O'Neal, C
482,3,"Jason Kidd, PG",New Jersey Nets,"$19,728,000",2008,Jason Kidd, PG
483,4,"Jermaine O'Neal, C",Indiana Pacers,"$19,728,000",2008,Jermaine O'Neal, C
484,5,"Kobe Bryant, SF",Los Angeles Lakers,"$19,490,625",2008,Kobe Bryant, SF
485,6,"Tim Duncan, C",San Antonio Spurs,"$19,014,188",2008,Tim Duncan, C
486,7,"Allen Iverson, SG",Denver Nuggets,"$19,012,500",2008,Allen Iverson, SG
487,8,"Stephon Marbury, PG",New York Knicks,"$19,012,500",2008,Stephon Marbury, PG
488,9,"Tracy McGrady, SG",Houston Rockets,"$18,257,750",2008,Tracy McGrady, SG
489,10,"Baron Davis, PG",Golden State Warriors,"$16,440,000",2008,Baron Davis, PG
490,11,"Shawn Marion, SG",Phoenix Suns,"$16,440,000",2008,Shawn Marion, SG
491,12,"Paul Pierce, SF",Boston Celtics,"$16,360,094",2008,Paul Pierce, SF
492,13,"Dirk Nowitzki, F",Dallas Mavericks,"$16,360,094",2008,Dirk Nowitzki, F
493,14,"Antawn Jamison, PF",Washington Wizards,"$16,360,094",2008,Antawn Jamison, PF
494,15,"Ray Allen, SG",Boston Celtics,"$16,000,000",2008,Ray Allen, SG
495,16,"Ben Wallace, PF",Cleveland Cavaliers,"$15,500,000",2008,Ben Wallace, PF
496,17,"Elton Brand, PF",LA Clippers,"$15,344,000",2008,Elton Brand, PF
497,18,"Mike Bibby, PG",Sacramento Kings,"$14,983,603",2008,Mike Bibby, PG
498,19,"Rashard Lewis, PF",Orlando Magic,"$14,884,951",2008,Rashard Lewis, PF
499,20,"Michael Redd, SG",Milwaukee Bucks,"$14,520,000",2008,Michael Redd, SG
500,21,"Amar'e Stoudemire, C",Phoenix Suns,"$13,762,775",2008,Amar'e Stoudemire, C
501,22,"Yao Ming, C",Houston Rockets,"$13,762,775",2008,Yao Ming, C
502,23,"Pau Gasol, PF",Memphis Grizzlies,"$13,735,000",2008,Pau Gasol, PF
503,24,"Andrei Kirilenko, SF",Utah Jazz,"$13,735,000",2008,Andrei Kirilenko, SF
504,25,"Joe Johnson, G",Atlanta Hawks,"$13,488,378",2008,Joe Johnson, G
505,26,"Zach Randolph, F",New York Knicks,"$13,333,333",2008,Zach Randolph, F
506,27,"Vince Carter, G",New Jersey Nets,"$13,325,000",2008,Vince Carter, G
507,28,"Kenyon Martin, PF",Denver Nuggets,"$13,250,000",2008,Kenyon Martin, PF
508,29,"Lamar Odom, PF",Los Angeles Lakers,"$13,248,596",2008,Lamar Odom, PF
509,30,"Carmelo Anthony, PF",Denver Nuggets,"$13,041,250",2008,Carmelo Anthony, PF
510,31,"Dwyane Wade, G",Miami Heat,"$13,041,250",2008,Dwyane Wade, G
511,32,"Chris Bosh, PF",Toronto Raptors,"$13,041,250",2008,Chris Bosh, PF
512,33,"LeBron James, SF",Cleveland Cavaliers,"$13,041,250",2008,LeBron James, SF
513,34,"Rasheed Wallace, PF",Detroit Pistons,"$12,540,000",2008,Rasheed Wallace, PF
514,35,"Raef LaFrentz, C",Portland Trail Blazers,"$12,440,787",2008,Raef LaFrentz, C
515,36,"Wally Szczerbiak, SG",Seattle SuperSonics,"$12,275,000",2008,Wally Szczerbiak, SG
516,37,"Richard Jefferson, F",New Jersey Nets,"$12,200,000",2008,Richard Jefferson, F
517,38,"Larry Hughes, SG",Cleveland Cavaliers,"$12,000,084",2008,Larry Hughes, SG
518,39,"Gilbert Arenas, PG",Washington Wizards,"$11,950,400",2008,Gilbert Arenas, PG
519,40,"Peja Stojakovic, SF",New Orleans Hornets,"$11,664,000",2008,Peja Stojakovic, SF
520,1,"Kevin Garnett, PF",Minnesota Timberwolves,"$21,000,000",2007,Kevin Garnett, PF
521,2,"Shaquille O'Neal, C",Miami Heat,"$20,000,000",2007,Shaquille O'Neal, C
522,3,"Jason Kidd, PG",New Jersey Nets,"$18,084,000",2007,Jason Kidd, PG
523,4,"Jermaine O'Neal, C",Indiana Pacers,"$18,084,000",2007,Jermaine O'Neal, C
524,5,"Kobe Bryant, SF",Los Angeles Lakers,"$17,718,750",2007,Kobe Bryant, SF
525,6,"Tim Duncan, C",San Antonio Spurs,"$17,429,673",2007,Tim Duncan, C
526,7,"Allen Iverson, SG",Philadelphia 76ers,"$17,184,375",2007,Allen Iverson, SG
527,8,"Stephon Marbury, PG",New York Knicks,"$17,184,375",2007,Stephon Marbury, PG
528,9,"Tracy McGrady, SG",Houston Rockets,"$16,901,500",2007,Tracy McGrady, SG
529,10,"Grant Hill, SF",Orlando Magic,"$16,901,500",2007,Grant Hill, SF
530,11,"Ben Wallace, PF",Chicago Bulls,"$16,000,000",2007,Ben Wallace, PF
531,12,"Paul Pierce, SF",Boston Celtics,"$15,101,626",2007,Paul Pierce, SF
532,13,"Antawn Jamison, PF",Washington Wizards,"$15,101,626",2007,Antawn Jamison, PF
533,14,"Vince Carter, G",New Jersey Nets,"$15,101,626",2007,Vince Carter, G
534,15,"Dirk Nowitzki, F",Dallas Mavericks,"$15,101,622",2007,Dirk Nowitzki, F
535,16,"Steve Francis, PG",New York Knicks,"$15,070,000",2007,Steve Francis, PG
536,17,"Baron Davis, PG",Golden State Warriors,"$15,070,000",2007,Baron Davis, PG
537,18,"Shawn Marion, SG",Phoenix Suns,"$15,070,000",2007,Shawn Marion, SG
538,19,"Ray Allen, SG",Seattle SuperSonics,"$14,611,570",2007,Ray Allen, SG
539,20,"Elton Brand, PF",LA Clippers,"$14,248,000",2007,Elton Brand, PF
540,21,"Larry Hughes, SG",Cleveland Cavaliers,"$13,363,012",2007,Larry Hughes, SG
541,22,"Michael Redd, SG",Milwaukee Bucks,"$13,260,000",2007,Michael Redd, SG
542,23,"Joe Johnson, G",Atlanta Hawks,"$12,744,190",2007,Joe Johnson, G
543,24,"Mike Bibby, PG",Sacramento Kings,"$12,500,000",2007,Mike Bibby, PG
544,25,"Amar'e Stoudemire, C",Phoenix Suns,"$12,455,000",2007,Amar'e Stoudemire, C
545,26,"Yao Ming, C",Houston Rockets,"$12,455,000",2007,Yao Ming, C
546,27,"Pau Gasol, PF",Memphis Grizzlies,"$12,364,000",2007,Pau Gasol, PF
547,28,"Andrei Kirilenko, SF",Utah Jazz,"$12,364,000",2007,Andrei Kirilenko, SF
548,29,"Lamar Odom, PF",Los Angeles Lakers,"$12,348,596",2007,Lamar Odom, PF
549,30,"Kenyon Martin, PF",Denver Nuggets,"$12,068,182",2007,Kenyon Martin, PF
550,31,"Zach Randolph, F",Portland Trail Blazers,"$12,000,000",2007,Zach Randolph, F
551,32,"Wally Szczerbiak, SG",Boston Celtics,"$11,775,000",2007,Wally Szczerbiak, SG
552,33,"Theo Ratliff, C",Boston Celtics,"$11,666,666",2007,Theo Ratliff, C
553,34,"Rasheed Wallace, PF",Detroit Pistons,"$11,650,000",2007,Rasheed Wallace, PF
554,35,"Raef LaFrentz, C",Portland Trail Blazers,"$11,532,037",2007,Raef LaFrentz, C
555,36,"Carlos Boozer, PF",Utah Jazz,"$11,260,483",2007,Carlos Boozer, PF
556,37,"Richard Jefferson, F",New Jersey Nets,"$11,200,000",2007,Richard Jefferson, F
557,38,"Gilbert Arenas, PG",Washington Wizards,"$11,096,800",2007,Gilbert Arenas, PG
558,39,"Peja Stojakovic, SF",NO/Oklahoma City Hornets,"$10,800,000",2007,Peja Stojakovic, SF
559,40,"Steve Nash, PG",Phoenix Suns,"$10,500,000",2007,Steve Nash, PG
560,1,"Shaquille O'Neal, C",Miami Heat,"$20,000,000",2006,Shaquille O'Neal, C
561,2,"Chris Webber, C",Philadelphia 76ers,"$19,125,000",2006,Chris Webber, C
562,3,"Kevin Garnett, PF",Minnesota Timberwolves,"$18,000,000",2006,Kevin Garnett, PF
563,4,"Allen Iverson, SG",Philadelphia 76ers,"$16,453,125",2006,Allen Iverson, SG
564,5,"Stephon Marbury, PG",New York Knicks,"$16,453,125",2006,Stephon Marbury, PG
565,6,"Jason Kidd, PG",New Jersey Nets,"$16,440,000",2006,Jason Kidd, PG
566,7,"Jermaine O'Neal, C",Indiana Pacers,"$16,440,000",2006,Jermaine O'Neal, C
567,8,"Kobe Bryant, SF",Los Angeles Lakers,"$15,946,875",2006,Kobe Bryant, SF
568,9,"Tim Duncan, C",San Antonio Spurs,"$15,845,157",2006,Tim Duncan, C
569,10,"Vin Baker, PF",LA Clippers,"$15,750,000",2006,Vin Baker, PF
570,11,"Anfernee Hardaway, SF",Orlando Magic,"$15,750,000",2006,Anfernee Hardaway, SF
571,12,"Tracy McGrady, SG",Houston Rockets,"$15,694,250",2006,Tracy McGrady, SG
572,13,"Jalen Rose, SG",Toronto Raptors,"$15,694,250",2006,Jalen Rose, SG
573,14,"Keith Van Horn, PF",Dallas Mavericks,"$15,694,250",2006,Keith Van Horn, PF
574,15,"Grant Hill, SF",Orlando Magic,"$15,694,250",2006,Grant Hill, SF
575,16,"Eddie Jones, SG",Memphis Grizzlies,"$14,666,250",2006,Eddie Jones, SG
576,17,"Tim Thomas, PF",Phoenix Suns,"$13,975,000",2006,Tim Thomas, PF
577,18,"Antonio Davis, PF",Toronto Raptors,"$13,865,000",2006,Antonio Davis, PF
578,19,"Paul Pierce, SF",Boston Celtics,"$13,843,156",2006,Paul Pierce, SF
579,20,"Dirk Nowitzki, F",Dallas Mavericks,"$13,843,156",2006,Dirk Nowitzki, F
580,21,"Antawn Jamison, PF",Washington Wizards,"$13,843,156",2006,Antawn Jamison, PF
581,22,"Vince Carter, G",New Jersey Nets,"$13,843,156",2006,Vince Carter, G
582,23,"Steve Francis, PG",Orlando Magic,"$13,700,000",2006,Steve Francis, PG
583,24,"Baron Davis, PG",Golden State Warriors,"$13,700,000",2006,Baron Davis, PG
584,25,"Shawn Marion, SG",Phoenix Suns,"$13,700,000",2006,Shawn Marion, SG
585,26,"Ray Allen, SG",Seattle SuperSonics,"$13,223,140",2006,Ray Allen, SG
586,27,"Elton Brand, PF",LA Clippers,"$13,152,000",2006,Elton Brand, PF
587,28,"Michael Redd, SG",Milwaukee Bucks,"$12,000,000",2006,Michael Redd, SG
588,29,"Joe Johnson, G",Atlanta Hawks,"$12,000,000",2006,Joe Johnson, G
589,30,"Theo Ratliff, C",Portland Trail Blazers,"$11,666,666",2006,Theo Ratliff, C
590,31,"Mike Bibby, PG",Sacramento Kings,"$11,500,000",2006,Mike Bibby, PG
591,32,"Lamar Odom, PF",Los Angeles Lakers,"$11,448,596",2006,Lamar Odom, PF
592,33,"Carlos Boozer, PF",Utah Jazz,"$11,260,483",2006,Carlos Boozer, PF
593,34,"Pau Gasol, PF",Memphis Grizzlies,"$10,993,000",2006,Pau Gasol, PF
594,35,"Andrei Kirilenko, SF",Utah Jazz,"$10,983,000",2006,Andrei Kirilenko, SF
595,36,"Kenyon Martin, PF",Denver Nuggets,"$10,886,364",2006,Kenyon Martin, PF
596,37,"Rasheed Wallace, PF",Detroit Pistons,"$10,860,000",2006,Rasheed Wallace, PF
597,38,"Zach Randolph, F",Portland Trail Blazers,"$10,666,667",2006,Zach Randolph, F
598,39,"Raef LaFrentz, C",Boston Celtics,"$10,623,288",2006,Raef LaFrentz, C
599,40,"Wally Szczerbiak, SG",Minnesota Timberwolves,"$10,500,000",2006,Wally Szczerbiak, SG
600,1,"Shaquille O'Neal, C",Miami Heat,"$29,464,000",2005,Shaquille O'Neal, C
601,2,"Dikembe Mutombo, C",Houston Rockets,"$19,684,000",2005,Dikembe Mutombo, C
602,3,"Allan Houston, SG",New York Knicks,"$17,531,000",2005,Allan Houston, SG
603,4,"Chris Webber, C",Sacramento Kings,"$17,351,000",2005,Chris Webber, C
604,5,"Damon Stoudamire, PG",Portland Trail Blazers,"$15,750,000",2005,Damon Stoudamire, PG
605,6,"Antoine Walker, PF",Boston Celtics,"$14,625,000",2005,Antoine Walker, PF
606,7,"Shareef Abdur-Rahim, PF",Portland Trail Blazers,"$14,625,000",2005,Shareef Abdur-Rahim, PF
607,8,"Allen Iverson, SG",Philadelphia 76ers,"$14,625,000",2005,Allen Iverson, SG
608,9,"Latrell Sprewell, SG",Minnesota Timberwolves,"$14,625,000",2005,Latrell Sprewell, SG
609,10,"Vin Baker, PF",New York Knicks,"$14,625,000",2005,Vin Baker, PF
610,11,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$14,625,000",2005,Zydrunas Ilgauskas, C
611,12,"Anfernee Hardaway, SF",New York Knicks,"$14,625,000",2005,Anfernee Hardaway, SF
612,13,"Ray Allen, SG",Seattle SuperSonics,"$14,625,000",2005,Ray Allen, SG
613,14,"Kobe Bryant, SF",Los Angeles Lakers,"$14,625,000",2005,Kobe Bryant, SF
614,15,"Stephon Marbury, PG",New York Knicks,"$14,625,000",2005,Stephon Marbury, PG
615,16,"Michael Finley, SG",Dallas Mavericks,"$14,609,000",2005,Michael Finley, SG
616,17,"Tracy McGrady, SG",Houston Rockets,"$14,487,000",2005,Tracy McGrady, SG
617,18,"Jalen Rose, SG",Toronto Raptors,"$14,487,000",2005,Jalen Rose, SG
618,19,"Keith Van Horn, PF",Milwaukee Bucks,"$14,487,000",2005,Keith Van Horn, PF
619,20,"Grant Hill, SF",Orlando Magic,"$14,487,000",2005,Grant Hill, SF
620,21,"Eddie Jones, SG",Miami Heat,"$13,440,000",2005,Eddie Jones, SG
621,22,"Brian Grant, PF",Los Angeles Lakers,"$13,346,000",2005,Brian Grant, PF
622,23,"Vince Carter, G",Toronto Raptors,"$13,281,000",2005,Vince Carter, G
623,24,"Tim Thomas, PF",New York Knicks,"$12,900,000",2005,Tim Thomas, PF
624,25,"Antonio Davis, PF",Chicago Bulls,"$12,000,000",2005,Antonio Davis, PF
625,26,"Glenn Robinson, SF",San Antonio Spurs,"$12,000,000",2005,Glenn Robinson, SF
626,27,"Nick Van Exel, PG",Portland Trail Blazers,"$11,821,000",2005,Nick Van Exel, PG
627,28,"Theo Ratliff, C",Portland Trail Blazers,"$10,937,000",2005,Theo Ratliff, C
628,29,"Kerry Kittles, SG",LA Clippers,"$9,817,000",2005,Kerry Kittles, SG
629,30,"Jamal Mashburn, SF",Philadelphia 76ers,"$9,300,000",2005,Jamal Mashburn, SF
630,31,"Maurice Taylor, PF",New York Knicks,"$8,450,000",2005,Maurice Taylor, PF
631,32,"Derek Anderson, SG",Portland Trail Blazers,"$8,444,000",2005,Derek Anderson, SG
