,Rank,Player_Position,Team,Salary,Year,Player,Position
632,33,"Alan Henderson, PF",Dallas Mavericks,"$8,273,000",2005,Alan Henderson, PF
633,34,"Austin Croshere, PF",Indiana Pacers,"$8,260,000",2005,Austin Croshere, PF
634,35,"Erick Dampier, C",Dallas Mavericks,"$8,105,000",2005,Erick Dampier, C
635,36,"Kelvin Cato, C",Orlando Magic,"$7,992,000",2005,Kelvin Cato, C
636,37,"Marcus Camby, C",Denver Nuggets,"$7,750,000",2005,Marcus Camby, C
637,38,"Shandon Anderson, SF",New York Knicks,"$7,300,000",2005,Shandon Anderson, SF
638,39,"Lorenzen Wright, PF",Memphis Grizzlies,"$7,150,000",2005,Lorenzen Wright, PF
639,40,"Jerry Stackhouse, SF",Dallas Mavericks,"$7,000,000",2005,Jerry Stackhouse, SF
640,1,"Kevin Garnett, PF",Minnesota Timberwolves,"$28,000,000",2004,Kevin Garnett, PF
641,2,"Shaquille O'Neal, C",Los Angeles Lakers,"$26,571,000",2004,Shaquille O'Neal, C
642,3,"Rasheed Wallace, PF",Portland Trail Blazers,"$18,000,000",2004,Rasheed Wallace, PF
643,4,"Dikembe Mutombo, C",New York Knicks,"$17,895,000",2004,Dikembe Mutombo, C
644,5,"Allan Houston, SG",New York Knicks,"$15,937,000",2004,Allan Houston, SG
645,6,"Chris Webber, C",Sacramento Kings,"$15,937,000",2004,Chris Webber, C
646,7,"Damon Stoudamire, PG",Portland Trail Blazers,"$14,625,000",2004,Damon Stoudamire, PG
647,8,"Antoine Walker, PF",Dallas Mavericks,"$13,500,000",2004,Antoine Walker, PF
648,9,"Antonio McDyess, PF",Phoenix Suns,"$13,500,000",2004,Antonio McDyess, PF
649,10,"Shareef Abdur-Rahim, PF",Portland Trail Blazers,"$13,500,000",2004,Shareef Abdur-Rahim, PF
650,11,"Allen Iverson, SG",Philadelphia 76ers,"$13,500,000",2004,Allen Iverson, SG
651,12,"Latrell Sprewell, SG",Minnesota Timberwolves,"$13,500,000",2004,Latrell Sprewell, SG
652,13,"Vin Baker, PF",New York Knicks,"$13,500,000",2004,Vin Baker, PF
653,14,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$13,500,000",2004,Zydrunas Ilgauskas, C
654,15,"Anfernee Hardaway, SF",Phoenix Suns,"$13,500,000",2004,Anfernee Hardaway, SF
655,16,"Ray Allen, SG",Seattle SuperSonics,"$13,500,000",2004,Ray Allen, SG
656,17,"Kobe Bryant, SF",Los Angeles Lakers,"$13,500,000",2004,Kobe Bryant, SF
657,18,"Stephon Marbury, PG",Phoenix Suns,"$13,500,000",2004,Stephon Marbury, PG
658,19,"Michael Finley, SG",Dallas Mavericks,"$13,281,000",2004,Michael Finley, SG
659,20,"Keith Van Horn, PF",New York Knicks,"$13,280,000",2004,Keith Van Horn, PF
660,21,"Tracy McGrady, SG",Orlando Magic,"$13,279,000",2004,Tracy McGrady, SG
661,22,"Tim Duncan, C",San Antonio Spurs,"$13,279,000",2004,Tim Duncan, C
662,23,"Jalen Rose, SG",Toronto Raptors,"$13,279,000",2004,Jalen Rose, SG
663,24,"Eddie Jones, SG",Miami Heat,"$12,320,000",2004,Eddie Jones, SG
664,25,"Brian Grant, PF",Miami Heat,"$12,234,000",2004,Brian Grant, PF
665,26,"Vlade Divac, C",Sacramento Kings,"$12,051,000",2004,Vlade Divac, C
666,27,"Antonio Davis, PF",Toronto Raptors,"$12,000,000",2004,Antonio Davis, PF
667,28,"Vince Carter, G",Toronto Raptors,"$11,953,000",2004,Vince Carter, G
668,29,"Tim Thomas, PF",New York Knicks,"$11,825,000",2004,Tim Thomas, PF
669,30,"Tom Gugliotta, PF",Utah Jazz,"$11,668,000",2004,Tom Gugliotta, PF
670,31,"Jason Kidd, PG",New Jersey Nets,"$10,950,000",2004,Jason Kidd, PG
671,32,"Nick Van Exel, PG",Golden State Warriors,"$10,912,000",2004,Nick Van Exel, PG
672,33,"Glenn Robinson, SF",Philadelphia 76ers,"$10,730,000",2004,Glenn Robinson, SF
673,34,"Theo Ratliff, C",Portland Trail Blazers,"$10,156,000",2004,Theo Ratliff, C
674,35,"Glen Rice, SF",LA Clippers,"$9,600,000",2004,Glen Rice, SF
675,36,"Kerry Kittles, SG",New Jersey Nets,"$9,267,000",2004,Kerry Kittles, SG
676,37,"Greg Ostertag, C",Utah Jazz,"$8,666,000",2004,Greg Ostertag, C
677,38,"Jamal Mashburn, SF",New Orleans Hornets,"$8,525,000",2004,Jamal Mashburn, SF
678,39,"Toni Kukoc, SF",Milwaukee Bucks,"$8,050,000",2004,Toni Kukoc, SF
679,40,"Maurice Taylor, PF",Houston Rockets,"$7,800,000",2004,Maurice Taylor, PF
680,1,"Kevin Garnett, PF",Minnesota Timberwolves,"$25,200,000",2003,Kevin Garnett, PF
681,2,"Shaquille O'Neal, C",Los Angeles Lakers,"$23,571,000",2003,Shaquille O'Neal, C
682,3,"Shawn Kemp, C",Orlando Magic,"$21,500,000",2003,Shawn Kemp, C
683,4,"Juwan Howard, PF",Denver Nuggets,"$20,625,000",2003,Juwan Howard, PF
684,5,"Scottie Pippen, SF",Portland Trail Blazers,"$19,727,000",2003,Scottie Pippen, SF
685,6,"Karl Malone, PF",Utah Jazz,"$19,250,000",2003,Karl Malone, PF
686,7,"Rasheed Wallace, PF",Portland Trail Blazers,"$16,200,000",2003,Rasheed Wallace, PF
687,8,"Dikembe Mutombo, C",New Jersey Nets,"$16,105,000",2003,Dikembe Mutombo, C
688,9,"Chris Webber, C",Sacramento Kings,"$14,343,000",2003,Chris Webber, C
689,10,"Damon Stoudamire, PG",Portland Trail Blazers,"$13,500,000",2003,Damon Stoudamire, PG
690,11,"Gary Payton, PG",Seattle SuperSonics,"$13,080,000",2003,Gary Payton, PG
691,12,"Antoine Walker, PF",Boston Celtics,"$12,375,000",2003,Antoine Walker, PF
692,13,"Shareef Abdur-Rahim, PF",Atlanta Hawks,"$12,375,000",2003,Shareef Abdur-Rahim, PF
693,14,"Allen Iverson, SG",Philadelphia 76ers,"$12,375,000",2003,Allen Iverson, SG
694,15,"Latrell Sprewell, SG",New York Knicks,"$12,375,000",2003,Latrell Sprewell, SG
695,16,"Vin Baker, PF",Boston Celtics,"$12,375,000",2003,Vin Baker, PF
696,17,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$12,375,000",2003,Zydrunas Ilgauskas, C
697,18,"Anfernee Hardaway, SF",Phoenix Suns,"$12,375,000",2003,Anfernee Hardaway, SF
698,19,"Ray Allen, SG",Seattle SuperSonics,"$12,375,000",2003,Ray Allen, SG
699,20,"Kobe Bryant, SF",Los Angeles Lakers,"$12,375,000",2003,Kobe Bryant, SF
700,21,"Stephon Marbury, PG",Phoenix Suns,"$12,375,000",2003,Stephon Marbury, PG
701,22,"Tracy McGrady, SG",Orlando Magic,"$12,072,000",2003,Tracy McGrady, SG
702,23,"Tim Duncan, C",San Antonio Spurs,"$12,072,000",2003,Tim Duncan, C
703,24,"Jalen Rose, SG",Chicago Bulls,"$12,072,000",2003,Jalen Rose, SG
704,25,"Keith Van Horn, PF",Philadelphia 76ers,"$12,072,000",2003,Keith Van Horn, PF
705,26,"Grant Hill, SF",Orlando Magic,"$12,072,000",2003,Grant Hill, SF
706,27,"Reggie Miller, SG",Indiana Pacers,"$12,046,000",2003,Reggie Miller, SG
707,28,"Antonio Davis, PF",Toronto Raptors,"$12,000,000",2003,Antonio Davis, PF
708,29,"Michael Finley, SG",Dallas Mavericks,"$11,953,000",2003,Michael Finley, SG
709,30,"Vlade Divac, C",Sacramento Kings,"$11,248,000",2003,Vlade Divac, C
710,31,"Eddie Jones, SG",Miami Heat,"$11,200,000",2003,Eddie Jones, SG
711,32,"Brian Grant, PF",Miami Heat,"$11,121,000",2003,Brian Grant, PF
712,33,"Allan Houston, SG",New York Knicks,"$11,000,000",2003,Allan Houston, SG
713,34,"Tom Gugliotta, PF",Phoenix Suns,"$10,890,000",2003,Tom Gugliotta, PF
714,35,"Tim Thomas, PF",Milwaukee Bucks,"$10,750,000",2003,Tim Thomas, PF
715,36,"Vince Carter, G",Toronto Raptors,"$10,625,000",2003,Vince Carter, G
716,37,"David Robinson, C",San Antonio Spurs,"$10,500,000",2003,David Robinson, C
717,38,"Nick Van Exel, PG",Dallas Mavericks,"$10,003,000",2003,Nick Van Exel, PG
718,39,"Steve Smith, SG",San Antonio Spurs,"$9,900,000",2003,Steve Smith, SG
719,40,"Glenn Robinson, SF",Atlanta Hawks,"$9,860,000",2003,Glenn Robinson, SF
720,1,"Kevin Garnett, PF",Minnesota Timberwolves,"$22,400,000",2002,Kevin Garnett, PF
721,2,"Shaquille O'Neal, C",Los Angeles Lakers,"$21,428,000",2002,Shaquille O'Neal, C
722,3,"Alonzo Mourning, C",Miami Heat,"$18,756,000",2002,Alonzo Mourning, C
723,4,"Juwan Howard, PF",Denver Nuggets,"$18,750,000",2002,Juwan Howard, PF
724,5,"Scottie Pippen, SF",Portland Trail Blazers,"$18,083,000",2002,Scottie Pippen, SF
725,6,"Karl Malone, PF",Utah Jazz,"$17,500,000",2002,Karl Malone, PF
726,7,"Rasheed Wallace, PF",Portland Trail Blazers,"$14,400,000",2002,Rasheed Wallace, PF
727,8,"Dikembe Mutombo, C",Philadelphia 76ers,"$14,315,000",2002,Dikembe Mutombo, C
728,9,"Gary Payton, PG",Seattle SuperSonics,"$12,926,000",2002,Gary Payton, PG
729,10,"Shawn Kemp, C",Portland Trail Blazers,"$12,770,000",2002,Shawn Kemp, C
730,11,"Chris Webber, C",Sacramento Kings,"$12,750,000",2002,Chris Webber, C
731,12,"Damon Stoudamire, PG",Portland Trail Blazers,"$12,375,000",2002,Damon Stoudamire, PG
732,13,"Reggie Miller, SG",Indiana Pacers,"$12,045,000",2002,Reggie Miller, SG
733,14,"Antonio McDyess, PF",Denver Nuggets,"$11,700,000",2002,Antonio McDyess, PF
734,15,"Antoine Walker, PF",Boston Celtics,"$11,250,000",2002,Antoine Walker, PF
735,16,"Shareef Abdur-Rahim, PF",Atlanta Hawks,"$11,250,000",2002,Shareef Abdur-Rahim, PF
736,17,"Allen Iverson, SG",Philadelphia 76ers,"$11,250,000",2002,Allen Iverson, SG
737,18,"Latrell Sprewell, SG",New York Knicks,"$11,250,000",2002,Latrell Sprewell, SG
738,19,"Vin Baker, PF",Seattle SuperSonics,"$11,250,000",2002,Vin Baker, PF
739,20,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$11,250,000",2002,Zydrunas Ilgauskas, C
740,21,"Anfernee Hardaway, SF",Phoenix Suns,"$11,250,000",2002,Anfernee Hardaway, SF
741,22,"Ray Allen, SG",Milwaukee Bucks,"$11,250,000",2002,Ray Allen, SG
742,23,"Kobe Bryant, SF",Los Angeles Lakers,"$11,250,000",2002,Kobe Bryant, SF
743,24,"Stephon Marbury, PG",Phoenix Suns,"$11,250,000",2002,Stephon Marbury, PG
744,25,"Antonio Davis, PF",Toronto Raptors,"$11,000,000",2002,Antonio Davis, PF
745,26,"Tracy McGrady, SG",Orlando Magic,"$10,865,000",2002,Tracy McGrady, SG
746,27,"Tim Duncan, C",San Antonio Spurs,"$10,865,000",2002,Tim Duncan, C
747,28,"Jalen Rose, SG",Indiana Pacers,"$10,865,000",2002,Jalen Rose, SG
748,29,"Keith Van Horn, PF",New Jersey Nets,"$10,865,000",2002,Keith Van Horn, PF
749,30,"Grant Hill, SF",Orlando Magic,"$10,865,000",2002,Grant Hill, SF
750,31,"Michael Finley, SG",Dallas Mavericks,"$10,625,000",2002,Michael Finley, SG
751,32,"Vlade Divac, C",Sacramento Kings,"$10,444,000",2002,Vlade Divac, C
752,33,"Tom Gugliotta, PF",Phoenix Suns,"$10,113,000",2002,Tom Gugliotta, PF
753,34,"Eddie Jones, SG",Miami Heat,"$10,080,000",2002,Eddie Jones, SG
754,35,"Brian Grant, PF",Miami Heat,"$10,009,000",2002,Brian Grant, PF
755,36,"Allan Houston, SG",New York Knicks,"$10,000,000",2002,Allan Houston, SG
756,37,"Tim Thomas, PF",Milwaukee Bucks,"$9,675,000",2002,Tim Thomas, PF
757,38,"David Robinson, C",San Antonio Spurs,"$9,500,000",2002,David Robinson, C
758,39,"Terrell Brandon, PG",Minnesota Timberwolves,"$9,250,000",2002,Terrell Brandon, PG
759,40,"Nick Van Exel, PG",Denver Nuggets,"$9,093,000",2002,Nick Van Exel, PG
760,1,"Kevin Garnett, PF",Minnesota Timberwolves,"$19,600,000",2001,Kevin Garnett, PF
761,2,"Shaquille O'Neal, C",Los Angeles Lakers,"$19,285,000",2001,Shaquille O'Neal, C
762,3,"Alonzo Mourning, C",Miami Heat,"$16,879,000",2001,Alonzo Mourning, C
763,4,"Juwan Howard, PF",Washington Wizards,"$16,875,000",2001,Juwan Howard, PF
764,5,"Hakeem Olajuwon, C",Houston Rockets,"$16,685,000",2001,Hakeem Olajuwon, C
765,6,"Karl Malone, PF",Utah Jazz,"$15,750,000",2001,Karl Malone, PF
766,7,"Dikembe Mutombo, C",Philadelphia 76ers,"$14,422,000",2001,Dikembe Mutombo, C
767,8,"Patrick Ewing, C",Seattle SuperSonics,"$14,000,000",2001,Patrick Ewing, C
768,9,"David Robinson, C",San Antonio Spurs,"$13,196,000",2001,David Robinson, C
769,10,"Scottie Pippen, SF",Portland Trail Blazers,"$13,151,000",2001,Scottie Pippen, SF
770,11,"Rasheed Wallace, PF",Portland Trail Blazers,"$12,600,000",2001,Rasheed Wallace, PF
771,12,"Larry Johnson, F",New York Knicks,"$12,485,000",2001,Larry Johnson, F
772,13,"Gary Payton, PG",Seattle SuperSonics,"$12,200,000",2001,Gary Payton, PG
773,14,"Tim Hardaway, G",Miami Heat,"$12,000,000",2001,Tim Hardaway, G
774,15,"Chris Webber, C",Sacramento Kings,"$12,000,000",2001,Chris Webber, C
775,16,"Shawn Kemp, C",Portland Trail Blazers,"$11,720,000",2001,Shawn Kemp, C
776,17,"Damon Stoudamire, PG",Portland Trail Blazers,"$11,250,000",2001,Damon Stoudamire, PG
777,18,"John Stockton, G",Utah Jazz,"$11,000,000",2001,John Stockton, G
778,19,"Antonio McDyess, PF",Denver Nuggets,"$10,800,000",2001,Antonio McDyess, PF
779,20,"Reggie Miller, SG",Indiana Pacers,"$10,666,000",2001,Reggie Miller, SG
780,21,"Arvydas Sabonis, C",Portland Trail Blazers,"$10,636,000",2001,Arvydas Sabonis, C
781,22,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$10,130,000",2001,Zydrunas Ilgauskas, C
782,23,"Anfernee Hardaway, SF",Phoenix Suns,"$10,130,000",2001,Anfernee Hardaway, SF
783,24,"Stephon Marbury, PG",New Jersey Nets,"$10,130,000",2001,Stephon Marbury, PG
784,25,"Antoine Walker, PF",Boston Celtics,"$10,125,000",2001,Antoine Walker, PF
785,26,"Shareef Abdur-Rahim, PF",Vancouver Grizzlies,"$10,125,000",2001,Shareef Abdur-Rahim, PF
786,27,"Allen Iverson, SG",Philadelphia 76ers,"$10,125,000",2001,Allen Iverson, SG
787,28,"Latrell Sprewell, SG",New York Knicks,"$10,125,000",2001,Latrell Sprewell, SG
788,29,"Vin Baker, PF",Seattle SuperSonics,"$10,125,000",2001,Vin Baker, PF
789,30,"Ray Allen, SG",Milwaukee Bucks,"$10,125,000",2001,Ray Allen, SG
790,31,"Kobe Bryant, SF",Los Angeles Lakers,"$10,125,000",2001,Kobe Bryant, SF
791,32,"Bryant Reeves, C",Vancouver Grizzlies,"$10,110,000",2001,Bryant Reeves, C
792,33,"Tracy McGrady, SG",Orlando Magic,"$9,658,000",2001,Tracy McGrady, SG
793,34,"Tim Duncan, C",San Antonio Spurs,"$9,658,000",2001,Tim Duncan, C
794,35,"Jalen Rose, SG",Indiana Pacers,"$9,658,000",2001,Jalen Rose, SG
795,36,"Grant Hill, SF",Orlando Magic,"$9,658,000",2001,Grant Hill, SF
796,37,"Vlade Divac, C",Sacramento Kings,"$9,641,000",2001,Vlade Divac, C
797,38,"Tom Gugliotta, PF",Phoenix Suns,"$9,336,000",2001,Tom Gugliotta, PF
798,39,"Allan Houston, SG",New York Knicks,"$9,000,000",2001,Allan Houston, SG
799,40,"Keith Van Horn, PF",New Jersey Nets,"$9,000,000",2001,Keith Van Horn, PF
800,1,"Shaquille O'Neal, C",Los Angeles Lakers,"$17,142,000",2000,Shaquille O'Neal, C
801,2,"Kevin Garnett, PF",Minnesota Timberwolves,"$16,806,000",2000,Kevin Garnett, PF
802,3,"Alonzo Mourning, C",Miami Heat,"$15,004,000",2000,Alonzo Mourning, C
803,4,"Juwan Howard, PF",Washington Wizards,"$15,000,000",2000,Juwan Howard, PF
804,5,"Scottie Pippen, SF",Portland Trail Blazers,"$14,795,000",2000,Scottie Pippen, SF
805,6,"Karl Malone, PF",Utah Jazz,"$14,000,000",2000,Karl Malone, PF
806,7,"Larry Johnson, F",New York Knicks,"$11,910,000",2000,Larry Johnson, F
807,8,"Gary Payton, PG",Seattle SuperSonics,"$11,020,000",2000,Gary Payton, PG
808,9,"Rasheed Wallace, PF",Portland Trail Blazers,"$10,800,000",2000,Rasheed Wallace, PF
809,10,"Shawn Kemp, C",Cleveland Cavaliers,"$10,780,000",2000,Shawn Kemp, C
810,11,"Damon Stoudamire, PG",Portland Trail Blazers,"$10,125,000",2000,Damon Stoudamire, PG
811,12,"Antonio McDyess, PF",Denver Nuggets,"$9,900,000",2000,Antonio McDyess, PF
812,13,"Antoine Walker, PF",Boston Celtics,"$9,000,000",2000,Antoine Walker, PF
813,14,"Shareef Abdur-Rahim, PF",Vancouver Grizzlies,"$9,000,000",2000,Shareef Abdur-Rahim, PF
814,15,"Allen Iverson, SG",Philadelphia 76ers,"$9,000,000",2000,Allen Iverson, SG
815,16,"Vin Baker, PF",Seattle SuperSonics,"$9,000,000",2000,Vin Baker, PF
816,17,"Anfernee Hardaway, SF",Phoenix Suns,"$9,000,000",2000,Anfernee Hardaway, SF
817,18,"Ray Allen, SG",Milwaukee Bucks,"$9,000,000",2000,Ray Allen, SG
818,19,"Kobe Bryant, SF",Los Angeles Lakers,"$9,000,000",2000,Kobe Bryant, SF
819,20,"Stephon Marbury, PG",New Jersey Nets,"$9,000,000",2000,Stephon Marbury, PG
820,21,"Vlade Divac, C",Sacramento Kings,"$8,837,000",2000,Vlade Divac, C
821,22,"Bryant Reeves, C",Vancouver Grizzlies,"$8,666,000",2000,Bryant Reeves, C
822,23,"Tom Gugliotta, PF",Phoenix Suns,"$8,558,000",2000,Tom Gugliotta, PF
823,24,"Nick Van Exel, PG",Denver Nuggets,"$8,354,000",2000,Nick Van Exel, PG
824,25,"Elden Campbell, C",Charlotte Hornets,"$7,975,000",2000,Elden Campbell, C
825,26,"Terrell Brandon, PG",Minnesota Timberwolves,"$7,400,000",2000,Terrell Brandon, PG
826,27,"Derrick Coleman, PF",Charlotte Hornets,"$7,370,000",2000,Derrick Coleman, PF
827,28,"Glenn Robinson, SF",Milwaukee Bucks,"$7,250,000",2000,Glenn Robinson, SF
828,29,"Steve Smith, SG",Portland Trail Blazers,"$7,200,000",2000,Steve Smith, SG
829,30,"Kerry Kittles, SG",New Jersey Nets,"$7,166,000",2000,Kerry Kittles, SG
830,31,"Chris Dudley, C",New York Knicks,"$7,100,000",2000,Chris Dudley, C
831,32,"Theo Ratliff, C",Philadelphia 76ers,"$7,031,000",2000,Theo Ratliff, C
832,33,"Matt Geiger, C",Philadelphia 76ers,"$6,889,000",2000,Matt Geiger, C
833,34,"Jason Kidd, PG",Phoenix Suns,"$6,858,000",2000,Jason Kidd, PG
834,35,"Kenny Anderson, PG",Boston Celtics,"$6,680,000",2000,Kenny Anderson, PG
835,36,"Tyrone Hill, PF",Philadelphia 76ers,"$6,422,000",2000,Tyrone Hill, PF
836,37,"Clifford Robinson, PF",Phoenix Suns,"$6,125,000",2000,Clifford Robinson, PF
837,38,"Jamal Mashburn, SF",Miami Heat,"$5,600,000",2000,Jamal Mashburn, SF
838,39,"Steve Nash, PG",Dallas Mavericks,"$5,500,000",2000,Steve Nash, PG
839,40,"Alan Henderson, PF",Atlanta Hawks,"$5,318,000",2000,Alan Henderson, PF
